ID,CBSAFP,RentGrowth
318,33860,0.0348
319,34060,0.0228
320,34060,0.0228
321,34100,0.0548
322,34100,0.0548
323,34620,-0.0063
324,34740,0.0465
325,34900,0.0231
326,35100,-0.0398
327,35100,-0.0398
328,35100,-0.0398
329,35660,0.0132
330,36100,-0.0236
331,36140,0.0666
332,36220,0.0539
333,36420,0.0241
334,36420,0.0241
335,36420,0.0241
336,36420,0.0241
337,36420,0.0241
338,36420,0.0241
339,36420,0.0241
340,36780,0.033
341,36980,0.0289
342,36980,0.0289
343,36980,0.0289
344,37460,0.0096
345,37460,0.0096
346,37900,0.0271
347,37900,0.0271
348,37900,0.0271
349,37900,0.0271
350,37900,0.0271
351,38220,0.0223
352,38220,0.0223
353,38220,0.0223
354,38300,0.0225
355,38300,0.0225
356,38300,0.0225
357,38300,0.0225
358,38300,0.0225
359,38300,0.0225
360,38300,0.0225
361,38340,0.0108
362,38540,-0.0083
363,38940,-0.0237
364,38940,-0.0237
365,39140,-0.0394
366,39380,-0.0021
367,39460,-0.1208
368,39540,0.0174
369,39580,-0.0313
370,39580,-0.0313
371,39580,-0.0313
372,39660,0.0042
373,39660,0.0042
374,39660,0.0042
375,39740,0.0396
376,39820,0.0208
377,39900,0.0077
378,39900,0.0077
379,40060,0.0325
380,40060,0.0325
381,40060,0.0325
382,40060,0.0325
383,40060,0.0325
384,40060,0.0325
385,40060,0.0325
386,40060,0.0325
387,40060,0.0325
388,40060,0.0325
389,40060,0.0325
390,40060,0.0325
391,40060,0.0325
392,40060,0.0325
393,40060,0.0325
394,40060,0.0325
395,40060,0.0325
396,40220,0.021
397,40220,0.021
398,40220,0.021
399,40220,0.021
400,40220,0.021
401,40220,0.021
402,40340,-0.0109
403,40340,-0.0109
404,40340,-0.0109
405,40340,-0.0109
406,40380,0.0358
407,40380,0.0358
408,40380,0.0358
409,40380,0.0358
410,40380,0.0358
411,40380,0.0358
412,40420,0.0441
413,40420,0.0441
414,40580,0.0188
415,40580,0.0188
416,40660,-0.0306
417,40980,0.0458
418,41060,0.0339
419,41060,0.0339
420,41100,-0.0153
421,41420,0.0013
422,41420,0.0013
423,41500,0.0269
424,41620,-0.0095
425,41620,-0.0095
426,41660,0.0058
427,41660,0.0058
428,42140,0.0355
429,42220,-0.0026
430,42340,0.0054
431,42340,0.0054
432,42340,0.0054
433,42680,-0.039
434,42700,0.0307
435,43100,0.0141
436,43300,-0.0043
437,43420,0.0401
438,43620,-0.0071
439,43620,-0.0071
440,43620,-0.0071
441,43620,-0.0071
442,43900,0.0036
443,43900,0.0036
444,44100,0.0535
445,44100,0.0535
446,44140,0.0528
447,44140,0.0528
448,44180,0.0195
449,44180,0.0195
450,44180,0.0195
451,44180,0.0195
452,44180,0.0195
453,44220,0.037
454,44300,-0.0199
455,44420,0.0453
456,44420,0.0453
457,44420,0.0453
458,44940,0.0355
459,45060,0.049
460,45060,0.049
461,45060,0.049
462,45220,0.0237
463,45220,0.0237
464,45220,0.0237
465,45220,0.0237
466,45460,0.0339
467,45460,0.0339
468,45460,0.0339
469,45460,0.0339
470,45540,-0.0363
471,45780,0.0217
472,45780,0.0217
473,45780,0.0217
474,45820,0.0423
475,45820,0.0423
476,45820,0.0423
477,45820,0.0423
478,45820,0.0423
479,45940,0.0173
480,46060,-0.0033
481,46140,0.039
482,46140,0.039
483,46140,0.039
484,46140,0.039
485,46140,0.039
486,46140,0.039
487,46140,0.039
488,46220,0.0476
489,46220,0.0476
490,46220,0.0476
491,46340,-0.0118
