"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"310M600US20940","El Centro, CA Metro Area","179702",
"310M600US21060","Elizabethtown-Fort Knox, KY Metro Area","155572",
"310M600US21140","Elkhart-Goshen, IN Metro Area","207047",
"310M600US21300","Elmira, NY Metro Area","84148",
"310M600US21340","El Paso, TX Metro Area","868859",
"310M600US21420","Enid, OK Metro Area","62846",
"310M600US21500","Erie, PA Metro Area","270876",
"310M600US21660","Eugene-Springfield, OR Metro Area","382971",
"310M600US21780","Evansville, IN-KY Metro Area","314049",
"310M600US21820","Fairbanks, AK Metro Area","95655",
"310M600US22020","Fargo, ND-MN Metro Area","249843",
"310M600US22140","Farmington, NM Metro Area","121661",
"310M600US22180","Fayetteville, NC Metro Area","520378",
"310M600US22220","Fayetteville-Springdale-Rogers, AR Metro Area","546725",
"310M600US22380","Flagstaff, AZ Metro Area","145101",
"310M600US22420","Flint, MI Metro Area","406211",
"310M600US22500","Florence, SC Metro Area","199964",
"310M600US22520","Florence-Muscle Shoals, AL Metro Area","150791",
"310M600US22540","Fond du Lac, WI Metro Area","104154",
"310M600US22660","Fort Collins, CO Metro Area","359066",
"310M600US22900","Fort Smith, AR-OK Metro Area","244310",
"310M600US23060","Fort Wayne, IN Metro Area","419601",
"310M600US23420","Fresno, CA Metro Area","1008654",
"310M600US23460","Gadsden, AL Metro Area","103436",
"310M600US23540","Gainesville, FL Metro Area","339247",
"310M600US23580","Gainesville, GA Metro Area","203136",
"310M600US23900","Gettysburg, PA Metro Area","103852",
"310M600US24020","Glens Falls, NY Metro Area","127039",
"310M600US24140","Goldsboro, NC Metro Area","117333",
"310M600US24220","Grand Forks, ND-MN Metro Area","104362",
"310M600US24260","Grand Island, NE Metro Area","77038",
"310M600US24300","Grand Junction, CO Metro Area","155703",
"310M600US24340","Grand Rapids-Kentwood, MI Metro Area","1087592",
"310M600US24420","Grants Pass, OR Metro Area","88090",
"310M600US24500","Great Falls, MT Metro Area","84414",
"310M600US24540","Greeley, CO Metro Area","328981",
"310M600US24580","Green Bay, WI Metro Area","328268",
"310M600US24660","Greensboro-High Point, NC Metro Area","776566",
"310M600US24780","Greenville, NC Metro Area","170243",
"310M600US24860","Greenville-Anderson, SC Metro Area","928195",
"310M600US25020","Guayama, PR Metro Area","68442",
"310M600US25060","Gulfport-Biloxi, MS Metro Area","416259",
"310M600US25180","Hagerstown-Martinsburg, MD-WV Metro Area","293844",
"310M600US25220","Hammond, LA Metro Area","133157",
"310M600US25260","Hanford-Corcoran, CA Metro Area","152486",
"310M600US25420","Harrisburg-Carlisle, PA Metro Area","591712",
"310M600US25500","Harrisonburg, VA Metro Area","135571",
"310M600US25540","Hartford-East Hartford-Middletown, CT Metro Area","1213531",
"310M600US25620","Hattiesburg, MS Metro Area","172231",
